"Type","Block","Num","Pvalue","Enrichment","ET_B_occurence","ET_P_occurence","median","ET_B_median","ET_P_median","FDR"
"Ruminococcus_albus","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.533278938866074,"ET_P",0.9643,1,9.24812136762186e-06,"7.31900980083071e-06","9.91125157116306e-06",0.838009761075259
"Akkermansia_muciniphila","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.338300704957898,"ET_P",1,1,9.89943473562186e-06,"6.8354790033889e-06","9.16768360526431e-05",0.715636106641707
"Streptococcus_parasanguinis","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.429544694436273,"ET_P",1,1,1.08043587495737e-05,"1.04071449688626e-05","1.29735207095154e-05",0.778844775626209
"Prevotella_buccalis","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.708855486821511,"ET_P",1,1,1.09229930159214e-05,"1.08079457772778e-05","1.65981843729521e-05",0.906675622678677
"unclassified_Lachnospiraceae_bacterium_4_1_37FAA","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.0331475217284473,"ET_B",1,1,1.11977056836964e-05,"1.39930592816514e-05","5.95996611463705e-06",0.173022853577396
"Veillonella_dispar","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.792799768093627,"ET_B",1,1,1.1201342515101e-05,"1.61470119957793e-05","5.7302945242103e-06",0.94194783432012
"Oxalobacter_formigenes","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.814199204072008,"ET_P",1,1,1.18281887099228e-05,"8.57621270271472e-06","3.12283727276412e-05",0.94194783432012
"Lachnospiraceae_oral_taxon_107","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.835734554898376,"ET_B",1,1,1.33727760065757e-05,"1.34121304505615e-05","1.33727760065757e-05",0.94194783432012
"Sutterella_wadsworthensis","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",1,"ET_B",1,1,1.40450772192648e-05,"1.41466847948254e-05","9.14074109503086e-06",1
"Marvinbryantia_formatexigens","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.479924686546591,"ET_P",1,1,1.45091009536601e-05,"1.39755305940034e-05","1.88500962313224e-05",0.816366734847294
"Clostridium_ramosum","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",4.92362224927384e-05,"ET_B",1,1,1.46667864857185e-05,"2.64293560556972e-05","7.36758208544672e-06",0.000738543337391076
"Campylobacter_jejuni","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.0660223603026429,"ET_B",1,1,1.55544981470802e-05,"1.75348328879748e-05","1.02050110428109e-05",0.265699742681368
"unclassified_Lachnospiraceae_bacterium_9_1_43BFAA","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.0108134958162009,"ET_B",1,1,1.56670378916088e-05,"2.37018455318972e-05","9.42410679758081e-06",0.0811012186215068
"Eubacterium_cylindroides","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.497388298719041,"ET_B",1,1,1.62602542721872e-05,"1.92695129940988e-05","1.43951029388746e-05",0.828980497865068
"unclassified_Clostridium_sp._HGF2","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.0209948944852359,"ET_B",1,1,1.66905893743494e-05,"1.93789371377798e-05","8.27718218906924e-06",0.133236830387074
"Phascolarctobacterium_succinatutens","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.814199204072008,"ET_B",1,1,1.89382808573416e-05,"1.90229636737074e-05","1.49727567234547e-05",0.94194783432012
"unclassified_Clostridium_sp._D5","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.445996626203043,"ET_P",1,1,1.91191606412198e-05,"1.76248138359739e-05","2.845080015399e-05",0.79128433681185
"unclassified_Veillonella_sp._oral_taxon_158","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.879151312032112,"ET_B",1,1,1.95388783189413e-05,"2.2151877907598e-05","1.24192855681083e-05",0.94194783432012
"Bacteroides_helcogenes","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.000463299013762049,"ET_B",1,1,2.13896091927244e-05,"2.87064366539615e-05","6.29849409193275e-06",0.00477777107942113
"Eubacterium_dolichum","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.708855486821511,"ET_P",1,1,2.20366154070753e-05,"2.16132447041366e-05","2.20366154070753e-05",0.906675622678677
"Clostridium_scindens","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.0798462082260806,"ET_B",1,1,2.27133949424847e-05,"2.57061467912815e-05","1.65184745586993e-05",0.306386612960542
"Prevotella_buccae","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.176505866288993,"ET_P",1,1,2.55346485994639e-05,"1.6537950376831e-05","9.05501909699372e-05",0.46973335383361
"Ruminococcus_champanellensis","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.107854366642484,"ET_P",1,1,2.56195051895269e-05,"2.12920918105798e-05","3.61525982369758e-05",0.370749385333539
"Enterococcus_faecalis","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.570399226011073,"ET_P",1,1,2.5896159209346e-05,"2.46860778292766e-05","2.66008806878743e-05",0.865787960246995
"Collinsella_aerofaciens","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.272330189493004,"ET_P",1,1,2.61041860450303e-05,"1.15348861137533e-05","3.0995272728338e-05",0.651224366178923
"Prevotella_oris","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.688353475444303,"ET_P",1,1,2.69411452433372e-05,"2.29167430136038e-05","3.20246258372326e-05",0.906675622678677
"Eubacterium_biforme","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.0139738650939649,"ET_P",1,1,2.7496725907041e-05,"2.28036143714996e-05","5.56353844012007e-05",0.0960703225210087
"Clostridium_methylpentosum","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.310804070658409,"ET_P",1,1,2.78052564232522e-05,"2.19472024020562e-05","4.29696774654515e-05",0.674771995508388
"Streptococcus_dysgalactiae","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.944905346142325,"ET_B",1,1,2.81011550200176e-05,"2.95040182042016e-05","2.47680741598489e-05",0.978790977640409
"Veillonella_parvula","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.533278938866074,"ET_B",1,1,3.7945115244504e-05,"4.64303842864122e-05","3.7945115244504e-05",0.838009761075259
"Bifidobacterium_adolescentis","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.352601567840197,"ET_P",1,1,3.86842363502965e-05,"3.35193506975567e-05","0.000112780864698651",0.718262453007809
"unclassified_Lachnospiraceae_bacterium_1_4_56FAA","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.0164941614361994,"ET_B",1,1,3.99627440834379e-05,"5.21950740982595e-05","3.32320813478616e-05",0.108861465478916
"Prevotella_timonensis","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.0356531940704938,"ET_B",1,1,4.06988038981797e-05,"6.21860262777382e-05","2.56174503557852e-05",0.173022853577396
"unclassified_Erysipelotrichaceae_bacterium_3_1_53","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.879151312032112,"ET_B",1,1,4.64769697916089e-05,"4.68259858481462e-05","4.1020677171038e-05",0.94194783432012
"unclassified_Coprobacillus_sp._29_1","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.879151312032112,"ET_P",1,1,4.70035475692538e-05,"4.45448743795386e-05","6.24430131665899e-05",0.94194783432012
"unclassified_Erysipelotrichaceae_bacterium_5_2_54FAA","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.857390396689518,"ET_B",1,1,5.03677903970748e-05,"5.38232727327132e-05","4.81613495706628e-05",0.94194783432012
"Subdoligranulum_variabile","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.310804070658409,"ET_P",1,1,5.42239397252969e-05,"4.15101714674933e-05","6.6151176351156e-05",0.674771995508388
